"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","Languages__c","LastName","LeadSource","Level__c","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title"
018bd380-5296-4645-9f41-b7141560f502,feae1e92-d8d2-4ede-bf8c-83e39800f97d,"#N/A","#N/A",1953-10-18,Finance,"#N/A",barr_tim@grandhotels.com,"#N/A",(312) 596-1500,Tim,"#N/A","#N/A",English,Barr,External Referral,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",(312) 596-1230,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(312) 596-1000,"#N/A",Mr.,"SVP, Administration and Finance"
0f123849-bb9d-4ec9-bf68-411089889ff9,03553a78-7fa6-403e-a93c-9a8e1e0f8ffd,Audrey Haynes,(212) 842-5589,1943-06-15,Production,"#N/A",spavlova@uog.com,"#N/A",(212) 842-5501,Stella,"#N/A","#N/A",English,Pavlova,Public Relations,Tertiary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1303 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-5501,"#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5543,"#N/A","#N/A","#N/A",(212) 842-5500,"#N/A",Ms.,"SVP, Production"
109e2f44-0b68-4230-b57f-72876d52409c,03553a78-7fa6-403e-a93c-9a8e1e0f8ffd,Chris Nobel,(212) 842-5428,1933-09-21,Finance,"#N/A",agreen@uog.com,"#N/A",(212) 842-5501,Avi,"#N/A","#N/A",English,Green,Public Relations,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1302 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-2383,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5500,"#N/A",Mr.,CFO
12e8b470-5d16-4b88-976a-8ec24c98e924,36423c6c-7db4-47d8-be43-4945b30d8639,"#N/A","#N/A",1950-08-17,Executive Team,"#N/A",tripley@uog.com,"#N/A",(650) 450-8820,Tom,"#N/A","#N/A",English,Ripley,Public Relations,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9 Tagore Lane
Singapore, Singapore 787472
Singapore",(650) 345-7636,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 450-8810,"#N/A",Mr.,Regional General Manager
2c53074d-d1de-443c-93cf-ff740138ee4d,5a9fe332-6f3b-43b1-b886-6ead41b0f144,"#N/A","#N/A",1942-05-04,Technology,"#N/A",efrank@genepoint.com,"#N/A",(650) 867-9895,Edna,"#N/A","#N/A",English,Frank,Partner,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","345 Shoreline Park
Mountain View, CA 94043
USA",(650) 867-7686,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 867-3450,"#N/A",Ms.,"VP, Technology"
33f7c392-0826-47df-a1bb-a861b1ea9acd,076b2b37-7924-4052-829a-7245ebbfa227,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Siddartha,"#N/A","#N/A","#N/A",Nedaerk,"#N/A","#N/A",San Francisco,US,"#N/A","#N/A","#N/A",94087,CA,The Landmark @ One Market,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
5657a833-0209-4cc1-bfb7-bf0202d3f817,feae1e92-d8d2-4ede-bf8c-83e39800f97d,"#N/A","#N/A",1955-12-30,Facilities,"#N/A",bond_john@grandhotels.com,"#N/A",(312) 596-1500,John,"#N/A","#N/A",English,Bond,External Referral,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",(312) 596-1563,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(312) 596-1000,"#N/A",Mr.,"VP, Facilities"
5be6e911-389b-44b6-befd-19330aafa11c,d69d04f3-5983-4262-bdb4-2ec467ede036,"#N/A","#N/A",1948-05-25,Warehouse Mgmt,"#N/A",j.davis@expressl&t.net,"#N/A",(503) 421-7801,Josh,"#N/A","#N/A",English,Davis,Word of mouth,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","621 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",(503) 421-4387,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(503) 421-7800,"#N/A",Mr.,"Director, Warehouse Mgmt"
5f75dec4-5816-48e9-b492-8be3fb3386aa,22524cba-92f8-440e-b2cd-5cd9de9c41ad,"#N/A","#N/A",1968-02-22,Procurement,"#N/A",rose@edge.com,"#N/A",(512) 757-9000,Rose,"#N/A","#N/A",English,Gonzalez,Trade Show,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","313 Constitution Place
Austin, TX 78767
USA",(512) 757-9340,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(512) 757-6000,"#N/A",Ms.,"SVP, Procurement"
7086d713-1c4e-4dd3-919b-811a52b382f8,076b2b37-7924-4052-829a-7245ebbfa227,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Jake,"#N/A","#N/A","#N/A",Llorrac,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A"
7dee356e-9fc8-4774-bf06-a66c6a6b9901,03553a78-7fa6-403e-a93c-9a8e1e0f8ffd,"#N/A","#N/A",1960-07-28,Technology,"#N/A",lboyle@uog.com,"#N/A",(212) 842-5501,Lauren,"#N/A","#N/A",English,Boyle,Public Relations,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1304 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-5611,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5500,"#N/A",Ms.,"SVP, Technology"
8eefb13b-f622-4362-8fb2-a6cccd24dd58,d69d04f3-5983-4262-bdb4-2ec467ede036,Ron Sage,(503) 421-6782,1937-01-29,Operations,"#N/A",b.levy@expressl&t.net,"#N/A",(503) 421-7801,Babara,"#N/A","#N/A",English,Levy,Word of mouth,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",(503) 421-5451,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(503) 421-7800,"#N/A",Ms.,"SVP, Operations"
927aeba0-62c4-48e3-9677-9f8b0ed91299,b6afd8c7-fa0f-4b0f-90ee-4bbcf13dfe02,"#N/A","#N/A",1946-06-20,Finance,"#N/A",ajames@uog.com,"#N/A",+44 191 4956620,Ashley,"#N/A","#N/A",English,James,Public Relations,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",+44 191 3456234,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+44 191 4956203,"#N/A",Ms.,"VP, Finance"
9cf40ea6-a2a6-4961-8c09-8720e480bfe3,03553a78-7fa6-403e-a93c-9a8e1e0f8ffd,Pat Feinstein,(212) 842-5464,1951-10-11,Executive Team,"#N/A",asong@uog.com,"#N/A",(212) 842-5501,Arthur,"#N/A","#N/A",English,Song,Public Relations,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1301 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-4535,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5500,"#N/A",Mr.,CEO
b015be4c-d453-489a-b22a-ab7f26264b8c,0f1222ad-26bf-4e35-b1e3-75f8ecbac30c,"#N/A","#N/A","#N/A","#N/A","#N/A",jrogers@burlington.com,"#N/A",(336) 222-8000,Jack,"#N/A","#N/A","#N/A",Rogers,Web,"#N/A",Burlington,USA,"#N/A","#N/A","#N/A",27215,NC,525 S. Lexington Ave,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(336) 222-7000,"#N/A",Mr.,"VP, Facilities"
b900295c-bf3c-472a-bf6e-8b5756f8befe,bdd7be52-74f1-44b9-af23-e8e8f4d66c85,"#N/A","#N/A",1944-04-11,Administration,"#N/A",jane_gray@uoa.edu,"#N/A",(520) 773-9060,Jane,"#N/A","#N/A",English,Grey,Word of mouth,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",(520) 773-4539,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(520) 773-9050,"#N/A",Ms.,Dean of Administration
b9d9ac28-ae2f-47dd-9363-8e8773362d85,84b1253e-5400-4aba-b34f-f8c915b7073c,Jean Marie,(014) 427-4465,"#N/A",Finance,"#N/A",pat@pyramid.net,"#N/A",(014) 427-4428,Pat,"#N/A","#N/A","French, English",Stumuller,"#N/A",Primary,Paris,France,"#N/A","#N/A","#N/A",75251,"#N/A",2 Place Jussieu,(014) 454-6364,Paris,France,"#N/A","#N/A","#N/A","#N/A",75251,"#N/A",2 Place Jussieu,(014) 427-4427,"#N/A",Ms.,"SVP, Administration and Finance"
bf70618e-9e78-4b7d-aa66-2c29086c1378,36423c6c-7db4-47d8-be43-4945b30d8639,"#N/A","#N/A",1961-11-27,Production,"#N/A",ldcruz@uog.com,"#N/A",(650) 450-8820,Liz,"#N/A","#N/A",English,D'Cruz,Public Relations,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","10 Tagore Lane
Singapore, Singapore 787472
Singapore",(650) 345-6637,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 450-8810,"#N/A",Ms.,"VP, Production"
c5c18a62-d89c-48dd-a08b-26e0b21dacc5,22524cba-92f8-440e-b2cd-5cd9de9c41ad,"#N/A","#N/A",1946-11-20,Finance,"#N/A",sean@edge.com,"#N/A",(512) 757-9000,Sean,"#N/A","#N/A",English,Forbes,Trade Show,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","312 Constitution Place
Austin, TX 78767
USA",(512) 757-4561,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(512) 757-6000,"#N/A",Mr.,CFO
caca97f9-ecad-4ae8-9486-38de889b9375,d02e3521-08ef-44cf-aa5e-2fd736da5f07,"#N/A","#N/A","#N/A",Internal Operations,"#N/A",a_young@dickenson.com,"#N/A","#N/A",Andy,"#N/A","#N/A",English,Young,Purchased List,Primary,Lawrence,USA,"#N/A","#N/A","#N/A",66045,KS,1301 Hoch Drive,(785) 265-5350,Lawrence,USA,"#N/A","#N/A","#N/A","#N/A",66045,KS,1301 Hoch Drive,(785) 241-6200,"#N/A",Mr,"SVP, Operations"
